bundle	variable_name	qsirecon_suffix	source_file	zero_proportion	mean	stdev	median	masked_mean	masked_median	masked_stdev	subject_id	session_id	task_id	dir_id	acq_id	space_id	rec_id	run_id	bundle_source	bundle_params_id
Association_ArcuateFasciculusL	tdi	DSIStudio	/scratch/grmpy/SLURM_11194840_66/job-11194840-66-sub-132224/ds/inputs/data/qsiprep/qsiprep/sub-132224/ses-1/dwi/sub-132224_ses-1_acq-multiband_dir-AP_space-ACPC_desc-preproc_dwi.nii.gz	0.0	323.3217	742.092	52.0	323.3217	52.0	742.092	sub-132224	ses-1		dir-AP	acq-multiband	space-ACPC			DSIStudio	autotrackgqi
Association_ExtremeCapsuleL	tdi	DSIStudio	/scratch/grmpy/SLURM_11194840_66/job-11194840-66-sub-132224/ds/inputs/data/qsiprep/qsiprep/sub-132224/ses-1/dwi/sub-132224_ses-1_acq-multiband_dir-AP_space-ACPC_desc-preproc_dwi.nii.gz	0.0	186.67575	304.45367	53.0	186.67575	53.0	304.45367	sub-132224	ses-1		dir-AP	acq-multiband	space-ACPC			DSIStudio	autotrackgqi
Association_FrontalAslantTractR	tdi	DSIStudio	/scratch/grmpy/SLURM_11194840_66/job-11194840-66-sub-132224/ds/inputs/data/qsiprep/qsiprep/sub-132224/ses-1/dwi/sub-132224_ses-1_acq-multiband_dir-AP_space-ACPC_desc-preproc_dwi.nii.gz	0.0	191.97719	356.20346	48.0	191.97719	48.0	356.20346	sub-132224	ses-1		dir-AP	acq-multiband	space-ACPC			DSIStudio	autotrackgqi
Association_HippocampusAlveusR	tdi	DSIStudio	/scratch/grmpy/SLURM_11194840_66/job-11194840-66-sub-132224/ds/inputs/data/qsiprep/qsiprep/sub-132224/ses-1/dwi/sub-132224_ses-1_acq-multiband_dir-AP_space-ACPC_desc-preproc_dwi.nii.gz	0.0	76.84952	111.1051	32.0	76.84952	32.0	111.1051	sub-132224	ses-1		dir-AP	acq-multiband	space-ACPC			DSIStudio	autotrackgqi
Association_ParietalAslantTractR	tdi	DSIStudio	/scratch/grmpy/SLURM_11194840_66/job-11194840-66-sub-132224/ds/inputs/data/qsiprep/qsiprep/sub-132224/ses-1/dwi/sub-132224_ses-1_acq-multiband_dir-AP_space-ACPC_desc-preproc_dwi.nii.gz	0.0	113.02445	182.70197	37.0	113.02445	37.0	182.70197	sub-132224	ses-1		dir-AP	acq-multiband	space-ACPC			DSIStudio	autotrackgqi
Association_SuperiorLongitudinalFasciculusR	tdi	DSIStudio	/scratch/grmpy/SLURM_11194840_66/job-11194840-66-sub-132224/ds/inputs/data/qsiprep/qsiprep/sub-132224/ses-1/dwi/sub-132224_ses-1_acq-multiband_dir-AP_space-ACPC_desc-preproc_dwi.nii.gz	0.0	182.4616	337.8561	44.0	182.4616	44.0	337.8561	sub-132224	ses-1		dir-AP	acq-multiband	space-ACPC			DSIStudio	autotrackgqi
Association_CingulumR	tdi	DSIStudio	/scratch/grmpy/SLURM_11194840_66/job-11194840-66-sub-132224/ds/inputs/data/qsiprep/qsiprep/sub-132224/ses-1/dwi/sub-132224_ses-1_acq-multiband_dir-AP_space-ACPC_desc-preproc_dwi.nii.gz	0.0	249.83588	625.6161	38.0	249.83588	38.0	625.6161	sub-132224	ses-1		dir-AP	acq-multiband	space-ACPC			DSIStudio	autotrackgqi
Association_InferiorLongitudinalFasciculusR	tdi	DSIStudio	/scratch/grmpy/SLURM_11194840_66/job-11194840-66-sub-132224/ds/inputs/data/qsiprep/qsiprep/sub-132224/ses-1/dwi/sub-132224_ses-1_acq-multiband_dir-AP_space-ACPC_desc-preproc_dwi.nii.gz	0.0	403.72937	801.11597	88.0	403.72937	88.0	801.11597	sub-132224	ses-1		dir-AP	acq-multiband	space-ACPC			DSIStudio	autotrackgqi
Association_ArcuateFasciculusR	tdi	DSIStudio	/scratch/grmpy/SLURM_11194840_66/job-11194840-66-sub-132224/ds/inputs/data/qsiprep/qsiprep/sub-132224/ses-1/dwi/sub-132224_ses-1_acq-multiband_dir-AP_space-ACPC_desc-preproc_dwi.nii.gz	0.0	101.00958	234.67867	24.0	101.00958	24.0	234.67867	sub-132224	ses-1		dir-AP	acq-multiband	space-ACPC			DSIStudio	autotrackgqi
Association_CingulumL	tdi	DSIStudio	/scratch/grmpy/SLURM_11194840_66/job-11194840-66-sub-132224/ds/inputs/data/qsiprep/qsiprep/sub-132224/ses-1/dwi/sub-132224_ses-1_acq-multiband_dir-AP_space-ACPC_desc-preproc_dwi.nii.gz	0.0	215.85779	444.29077	44.0	215.85779	44.0	444.29077	sub-132224	ses-1		dir-AP	acq-multiband	space-ACPC			DSIStudio	autotrackgqi
Association_UncinateFasciculusL	tdi	DSIStudio	/scratch/grmpy/SLURM_11194840_66/job-11194840-66-sub-132224/ds/inputs/data/qsiprep/qsiprep/sub-132224/ses-1/dwi/sub-132224_ses-1_acq-multiband_dir-AP_space-ACPC_desc-preproc_dwi.nii.gz	0.0	130.66733	231.70326	31.0	130.66733	31.0	231.70326	sub-132224	ses-1		dir-AP	acq-multiband	space-ACPC			DSIStudio	autotrackgqi
Association_ExtremeCapsuleR	tdi	DSIStudio	/scratch/grmpy/SLURM_11194840_66/job-11194840-66-sub-132224/ds/inputs/data/qsiprep/qsiprep/sub-132224/ses-1/dwi/sub-132224_ses-1_acq-multiband_dir-AP_space-ACPC_desc-preproc_dwi.nii.gz	0.0	255.27339	444.52576	50.0	255.27339	50.0	444.52576	sub-132224	ses-1		dir-AP	acq-multiband	space-ACPC			DSIStudio	autotrackgqi
Association_SuperiorLongitudinalFasciculusL	tdi	DSIStudio	/scratch/grmpy/SLURM_11194840_66/job-11194840-66-sub-132224/ds/inputs/data/qsiprep/qsiprep/sub-132224/ses-1/dwi/sub-132224_ses-1_acq-multiband_dir-AP_space-ACPC_desc-preproc_dwi.nii.gz	0.0	173.55585	309.74768	47.0	173.55585	47.0	309.74768	sub-132224	ses-1		dir-AP	acq-multiband	space-ACPC			DSIStudio	autotrackgqi
Association_UncinateFasciculusR	tdi	DSIStudio	/scratch/grmpy/SLURM_11194840_66/job-11194840-66-sub-132224/ds/inputs/data/qsiprep/qsiprep/sub-132224/ses-1/dwi/sub-132224_ses-1_acq-multiband_dir-AP_space-ACPC_desc-preproc_dwi.nii.gz	0.0	137.92636	219.06932	37.0	137.92636	37.0	219.06932	sub-132224	ses-1		dir-AP	acq-multiband	space-ACPC			DSIStudio	autotrackgqi
Association_MiddleLongitudinalFasciculusL	tdi	DSIStudio	/scratch/grmpy/SLURM_11194840_66/job-11194840-66-sub-132224/ds/inputs/data/qsiprep/qsiprep/sub-132224/ses-1/dwi/sub-132224_ses-1_acq-multiband_dir-AP_space-ACPC_desc-preproc_dwi.nii.gz	0.0	222.7949	553.0945	40.0	222.7949	40.0	553.0945	sub-132224	ses-1		dir-AP	acq-multiband	space-ACPC			DSIStudio	autotrackgqi
Association_MiddleLongitudinalFasciculusR	tdi	DSIStudio	/scratch/grmpy/SLURM_11194840_66/job-11194840-66-sub-132224/ds/inputs/data/qsiprep/qsiprep/sub-132224/ses-1/dwi/sub-132224_ses-1_acq-multiband_dir-AP_space-ACPC_desc-preproc_dwi.nii.gz	0.0	244.46553	513.541	52.0	244.46553	52.0	513.541	sub-132224	ses-1		dir-AP	acq-multiband	space-ACPC			DSIStudio	autotrackgqi
Association_VerticalOccipitalFasciculusR	tdi	DSIStudio	/scratch/grmpy/SLURM_11194840_66/job-11194840-66-sub-132224/ds/inputs/data/qsiprep/qsiprep/sub-132224/ses-1/dwi/sub-132224_ses-1_acq-multiband_dir-AP_space-ACPC_desc-preproc_dwi.nii.gz	0.0	97.622116	158.2905	34.0	97.622116	34.0	158.2905	sub-132224	ses-1		dir-AP	acq-multiband	space-ACPC			DSIStudio	autotrackgqi
